*4u,kiss for you
ys,you suck
ysa,you suck a  
ysal,you suck at life
ysati,you suck at the internet
ysf,you stupid f  k
ysic,why should i care
ysitm,your shirt is too small
ysm,you scare me
ysoab,you son of a b   h
yss,you stupid s  t
yswnt,why sleep when not tired 
yt,you there 
ytd,year to date
ytf,why the f  k
ytfwudt,why the f  k would you do that 
ythwudt,why the hell would you do that
ytis,you think i m special 
ytm,you tell me
ytmnd,you re the man now  dog 
yty,why thank you
yu,you
yua,you ugly a  
yuo,you
yup,yes
yur,your
yust,why you say that
yvfw,you re very f  king welcome
yvw,you re very welcome
yw,you re welcome
ywapom,you want a piece of me 
ywia,you re welcome in advance
ywic,why would i care
yws,you want sex
ywsyls,you win some you lose some
ywud,yo whats up dude
ywvm,you re welcome very much
ywywm,you wish you were me
yysw,yeah  yeah  sure  whatever
z'omg,oh my god
z0mg,oh my god
zex,sex
zh,zero hour
zig,cigarette
zomfg,oh my f  king god
zomg,oh my god
zomgzorrz,oh my god
zoot,woohoo
zot,zero tolerance
zt,zoo tycoon
zup,what s up 
